0.9580913986828509
-0.14009295572817645,-0.02350673286276179
-0.013725063138300757,-0.006851558167702899,-0.0032678721757869785
-0.0035279413061474934,-0.00259235093773268,-0.0016389239976433993,-0.001003197018820185
-0.001376354519979488,-0.0011845062421930654,-0.00088414129741813,-0.0006217608315262531,-0.0004296824834046152
-0.0006774125666870062,-0.0006234980474840025,-0.0005134331763099076,-0.00039725193346883624,-0.00029826045574244536,-0.0002216987865061202
-0.00038400462137642803,-0.00036460929031167585,-0.0003185260123800414,-0.00026313963058047295,-0.00021024104970122177,-0.0001651097266357959,-0.000128864743352621
-0.0002389923838976959,-0.000230626393500806,-0.0002090241971165075,-0.0001806820081112063,-0.0001512155998254286,-0.00012404721888779977,-0.00010067420079903997,-0.00008137392732172487
-0.00015894021441395078,-0.00015483198284912503,-0.000143720663516189,-0.00012825290356794391,-0.00011113016856026414,-0.00009435176799885343,-0.00007907923652553453,-0.00006580919064647106,-0.00005461336041884214
-0.0001110868042489895,-0.00010886998631220285,-0.00010270787999205736,-0.00009377402156208331,-0.00008341332868724394,-0.00007276572763222772,-0.00006261743099586492,-0.00005341292605693217,-0.00004533681537309108,-0.00003840522380431301
-0.00008070605630422262,-0.0000794216645440347,-0.00007578882214034606,-0.00007036924965349517,-0.0000638615072180923,-0.00005691915215437103,-0.000050050034162588825,-0.00004359125627433308,-0.00003772969538464203,-0.00003254003093842235,-0.000028022991403275823
-0.00006048444567147821,-0.00005969764466518348,-0.000057445805539701935,-0.00005401630515458069,-0.000049788084939435305,-0.00004514278152122097,-0.00004040427119579842,-0.00003581244208843539,-0.00003152278370320192,-0.000027619997158350893,-0.000024136236454430594,-0.000021068427689225678
-0.00004650079135737014,-0.00004599662310318946,-0.00004454145483165752,-0.00004229094078582506,-0.00003945931722635406,-0.00003627476191837278,-0.00003294441186914537,-0.000029634633071681294,-0.00002646508360577577,-0.000023512028745478817,-0.00002081626498724059,-0.000018392254085536895,-0.000016236507472194676
-0.000036520914902614344,-0.0000361856063471088,-0.00003521171163593578,-0.00003368775473336686,-0.00003173954833707304,-0.000029507008663929614,-0.00002712401350241382,-0.000024705022208366956,-0.000022338877213900587,-0.000020088239000303084,-0.000017992506862502368,-0.000016072328581905938,-0.000014334378107480508,-0.000012775652501174645
-0.000029207083395750002,-0.00002897698064670642,-0.000028305419341915312,-0.000027244899824065897,-0.000025871892500678082,-0.000024274371348258043,-0.000022540107882095873,-0.000020747951393015255,-0.000018962810892671558,-0.00001723393823790118,-0.00001559558144331925,-0.000014069011011419875,-0.000012665108384735135,-0.000011386969688282635,-0.000010232218586738871
-0.000023724501667018723,-0.000023562309582786465,-0.00002308714587792907,-0.000022331296140933607,-0.00002134269867173715,-0.000020178011731904113,-0.000018895700273510296,-0.000017550428229515724,-0.00001618935419245109,-0.000014850326523533318,-0.00001356160874542824,-0.000012342635598252237,-0.000011205329897152373,-0.000010155617334101238,-9.194899800607525e-6,-8.321354483294108e-6
-0.000019533647673825667,-0.00001941664382312748,-0.000019072818527466695,-0.00001852266379309697,-0.00001779707596681699,-0.000016933376153579214,-0.00001597114912612696,-0.000014948638362168986,-0.000013900120193954682,-0.000012854362492860892,-0.000011834045055397302,-0.000010855903491046887,-9.931335554546196e-6,-9.067242653805333e-6,-8.26693696087807e-6,-7.5310039581101725e-6,-6.8580598581492475e-6
-0.00001627517569680666,-0.00001618904322796624,-0.00001593530563823414,-0.00001552733581749457,-0.000014985548113674151,-0.000014335045841685568,-0.000013603066163086564,-0.000012816647813127815,-0.000012000802453828938,-0.000011177304054986502,-0.00001036407434252401,-9.575058142469303e-6,-8.820448780833445e-6,-8.10712675727973e-6,-7.439198434095796e-6,-6.818552240388199e-6,-6.245379408933082e-6,-5.7186303568691754e-6
